카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,94869,0.8
자연관광,자연공원,134590,1.2
자연관광,자연경관(하천/해양),200412,1.7
자연관광,자연경관(산),201691,1.7
역사관광,종교성지,177849,1.5
역사관광,역사유적지,207371,1.8
역사관광,역사유물,1137,0.0
체험관광,공예체험,453,0.0
체험관광,농/산/어촌체험,40298,0.3
체험관광,웰니스관광,37300,0.3
문화관광,공연시설,113994,1.0
문화관광,테마공원,91545,0.8
문화관광,전시시설,83047,0.7
문화관광,복합관광시설,70232,0.6
문화관광,레저스포츠시설,30825,0.3
문화관광,랜드마크관광,219329,1.9
문화관광,기타문화관광지,28349,0.2
문화관광,도시/지역문화관광,2061,0.0
문화관광,도시공원,327508,2.8
레저스포츠,육상레저스포츠,1420856,12.2
레저스포츠,기타레저스포츠,126558,1.1
레저스포츠,항공레저스포츠,14053,0.1
레저스포츠,수상레저스포츠,86040,0.7
쇼핑,시장,356092,3.0
쇼핑,기타쇼핑시설,5950,0.1
쇼핑,쇼핑몰,143702,1.2
쇼핑,백화점,179986,1.5
음식,외국식,295323,2.5
음식,음식점기타,11399,0.1
음식,전문음식,470818,4.0
음식,한식,1726225,14.8
음식,카페/찻집,981688,8.4
음식,간이음식,488934,4.2
숙박,호스텔,10353,0.1
숙박,호텔,255300,2.2
숙박,펜션/민박,178109,1.5
숙박,콘도미니엄,214453,1.8
숙박,캠핑,235675,2.0
숙박,기타숙박,2167,0.0
숙박,모텔,360995,3.1
기타관광,교통시설,1600756,13.7
기타관광,기타관광,460069,3.9
기타관광,데이트코스,1707,0.0
