지역명,자치단체명,행사축제명,연도,금액
충청남도,논산시,강경젓갈축제,2014,1290000000
충청남도,논산시,강경젓갈축제,2015,965000000
충청남도,논산시,강경젓갈축제,2016,0
충청남도,논산시,강경젓갈축제,2017,0
충청남도,논산시,강경젓갈축제,2018,0
충청남도,논산시,강경젓갈축제,2009,0
충청남도,논산시,강경젓갈축제,2010,0
충청남도,논산시,강경젓갈축제,2011,0
충청남도,논산시,강경젓갈축제,2012,980000000
충청남도,논산시,강경젓갈축제,2013,1300000000
충청남도,논산시,강경젓갈축제,2014,0
충청남도,논산시,강경젓갈축제,2015,0
충청남도,논산시,강경젓갈축제,2016,785000000
충청남도,논산시,강경젓갈축제,2017,785000000
충청남도,논산시,강경젓갈축제,2018,825000000
충청남도,논산시,강경젓갈축제,2019,0
충청남도,논산시,강경젓갈축제,2020,650000000
충청남도,논산시,강경젓갈축제,2021,749876950
충청남도,논산시,강경젓갈축제,2022,1003000000
충청남도,논산시,강경젓갈축제,2023,1178086190
충청북도,괴산군,괴산고추축제,2009,0
충청북도,괴산군,괴산고추축제,2010,0
충청북도,괴산군,괴산고추축제,2011,0
충청북도,괴산군,괴산고추축제,2012,659644000
충청북도,괴산군,괴산고추축제,2013,628000000
충청북도,괴산군,괴산고추축제,2014,678000000
충청북도,괴산군,괴산고추축제,2015,718000000
충청북도,괴산군,괴산고추축제,2016,736177800
충청북도,괴산군,괴산고추축제,2017,754074030
충청북도,괴산군,괴산고추축제,2018,0
충청북도,괴산군,괴산고추축제,2019,991815790
충청북도,괴산군,괴산고추축제,2020,345096820
충청북도,괴산군,괴산고추축제,2021,708697640
충청북도,괴산군,괴산고추축제,2022,1129331000
충청북도,괴산군,괴산고추축제,2023,1140000000
충청남도,금산군,금산인삼축제,2009,0
충청남도,금산군,금산인삼축제,2010,0
충청남도,금산군,금산인삼축제,2011,0
충청남도,금산군,금산인삼축제,2012,2279481000
충청남도,금산군,금산인삼축제,2013,2082713000
충청남도,금산군,금산인삼축제,2014,2069333000
충청남도,금산군,금산인삼축제,2015,2098912390
충청남도,금산군,금산인삼축제,2016,2101665000
충청남도,금산군,금산인삼축제,2017,0
충청남도,금산군,금산인삼축제,2018,2124975949
충청남도,금산군,금산인삼축제,2019,0
충청남도,금산군,금산인삼축제,2020,794257000
충청남도,금산군,금산인삼축제,2021,0
충청남도,금산군,금산인삼축제,2022,2500000000
충청남도,금산군,금산인삼축제,2023,3500000000
충청남도,보령시,보령머드축제,2009,0
충청남도,보령시,보령머드축제,2010,0
충청남도,보령시,보령머드축제,2011,0
충청남도,보령시,보령머드축제,2012,1798327000
충청남도,보령시,보령머드축제,2013,2042358000
충청남도,보령시,보령머드축제,2014,1998095000
충청남도,보령시,보령머드축제,2015,1999195000
충청남도,보령시,보령머드축제,2016,1968572080
충청남도,보령시,보령머드축제,2017,2102903630
충청남도,보령시,보령머드축제,2018,2852869000
충청남도,보령시,보령머드축제,2019,2892180000
충청남도,보령시,보령머드축제,2020,639966000
충청남도,보령시,보령머드축제,2021,856189035
충청남도,보령시,보령머드축제,2022,4542217000
충청남도,보령시,보령머드축제,2023,4578328000
충청남도,서산시,서산해미읍성축제,2014,0
충청남도,서산시,서산해미읍성축제,2015,0
충청남도,서산시,서산해미읍성축제,2016,0
충청남도,서산시,서산해미읍성축제,2017,0
충청남도,서산시,서산해미읍성축제,2018,880000000
충청남도,서산시,서산해미읍성축제,2019,900000000
충청남도,서산시,서산해미읍성축제,2020,0
충청남도,서산시,서산해미읍성축제,2021,0
충청남도,서산시,서산해미읍성축제,2022,1114648150
충청남도,서산시,서산해미읍성축제,2023,1643717000
충청북도,영동군,영동난계국악축제,2009,0
충청북도,영동군,영동난계국악축제,2010,0
충청북도,영동군,영동난계국악축제,2011,0
충청북도,영동군,영동난계국악축제,2012,920000000
충청북도,영동군,영동난계국악축제,2013,720000000
충청북도,영동군,영동난계국악축제,2014,870000000
충청북도,영동군,영동난계국악축제,2015,858050000
충청북도,영동군,영동난계국악축제,2016,847509500
충청북도,영동군,영동난계국악축제,2017,849993490
충청북도,영동군,영동난계국악축제,2018,1149290650
충청북도,영동군,영동난계국악축제,2019,1110000000
충청북도,영동군,영동난계국악축제,2020,0
충청북도,영동군,영동난계국악축제,2021,0
충청북도,영동군,영동난계국악축제,2022,0
충청북도,영동군,영동난계국악축제,2023,1099199780
충청북도,음성군,음성품바축제,2009,0
충청북도,음성군,음성품바축제,2010,0
충청북도,음성군,음성품바축제,2011,0
충청북도,음성군,음성품바축제,2012,0
충청북도,음성군,음성품바축제,2013,316000000
충청북도,음성군,음성품바축제,2014,400000000
충청북도,음성군,음성품바축제,2015,473450000
충청북도,음성군,음성품바축제,2016,520000000
충청북도,음성군,음성품바축제,2017,513000000
충청북도,음성군,음성품바축제,2018,657099900
충청북도,음성군,음성품바축제,2019,738025000
충청북도,음성군,음성품바축제,2020,0
충청북도,음성군,음성품바축제,2021,0
충청북도,음성군,음성품바축제,2022,0
충청북도,음성군,음성품바축제,2023,0
충청남도,천안시,천안흥타령춤축제,2009,0
충청남도,천안시,천안흥타령춤축제,2010,0
충청남도,천안시,천안흥타령춤축제,2011,0
충청남도,천안시,천안흥타령춤축제,2012,2328275000
충청남도,천안시,천안흥타령춤축제,2013,2277150000
충청남도,천안시,천안흥타령춤축제,2014,2053768000
충청남도,천안시,천안흥타령춤축제,2015,2464318803
충청남도,천안시,천안흥타령춤축제,2016,2582632037
충청남도,천안시,천안흥타령춤축제,2017,2923454832
충청남도,천안시,천안흥타령춤축제,2018,2547171521
충청남도,천안시,천안흥타령춤축제,2019,2537534464
충청남도,천안시,천안흥타령춤축제,2020,0
충청남도,천안시,천안흥타령춤축제,2021,996906954
충청남도,천안시,천안흥타령춤축제,2022,2495703972
충청남도,천안시,천안흥타령춤축제,2023,2906180089
